|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
| dmp    | class  | threads | quantum | serial  | depth |    avg | overhead | scalability | sensitivity |
|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
| nondmp | radix  |       8 |       x | x       |     x |   1.27 |          |             |             |
| nondmp | radix  |       4 |       x | x       |     x |   1.48 |          |             |             |
| nondmp | radix  |      16 |       x | x       |     x |   1.55 |          |             |             |
| nondmp | radix  |       2 |       x | x       |     x |   2.01 |          |             |             |
| dmp    | radix  |       8 |    1000 | full    |     1 |   2.64 |          |             |             |
| dmp    | radix  |       8 |    1000 | reduced |     1 |   2.65 |          |             |             |
| dmp    | radix  |       4 |    1000 | full    |     1 |   2.80 |          |             |             |
| dmp    | radix  |       4 |    1000 | reduced |     1 |   2.81 |          |             |             |
| dmp    | radix  |       2 |  100000 | reduced |     1 |   3.00 |          |             |             |
| dmp    | radix  |       2 |  100000 | full    |     1 |   3.01 |          |             |             |
| dmp    | radix  |       4 |  100000 | reduced |     1 |   3.02 |          |             |             |
| dmp    | radix  |       4 |   10000 | full    |     1 |   3.03 |          |             |             |
| dmp    | radix  |       4 |   10000 | reduced |     1 |   3.03 |          |             |             |
| dmp    | radix  |       4 |  100000 | full    |     1 |   3.03 |          |             |             |
| dmp    | radix  |       2 |   10000 | reduced |     1 |   3.04 |          |             |             |
| dmp    | radix  |       2 |   10000 | full    |     1 |   3.05 |          |             |             |
| dmp    | radix  |       8 |   10000 | full    |     1 |   3.05 |          |             |             |
| dmp    | radix  |       8 |   10000 | reduced |     1 |   3.05 |          |             |             |
| dmp    | radix  |       8 |  100000 | full    |     1 |   3.06 |          |             |             |
| dmp    | radix  |       8 |  100000 | reduced |     1 |   3.06 |          |             |             |
| dmp    | radix  |       2 |    1000 | full    |     1 |   3.10 |          |             |             |
| dmp    | radix  |       2 |    1000 | reduced |     1 |   3.10 |          |             |             |
| dmp    | radix  |      16 |  100000 | full    |     1 |   3.11 |          |             |             |
| dmp    | radix  |      16 |  100000 | reduced |     1 |   3.11 |          |             |             |
| dmp    | radix  |      16 |    1000 | full    |     1 |   3.13 |          |             |             |
| dmp    | radix  |      16 |   10000 | full    |     1 |   3.14 |          |             |             |
| dmp    | radix  |      16 |    1000 | reduced |     1 |   3.15 |          |             |             |
| dmp    | radix  |      16 |   10000 | reduced |     1 |   3.16 |          |             |             |
| dmp    | radix  |       2 |  100000 | reduced |     5 |   3.52 |          |             |             |
| dmp    | radix  |       2 |  100000 | full    |     5 |   3.53 |          |             |             |
| dmp    | radix  |       4 |  100000 | full    |     5 |   3.97 |          |             |             |
| dmp    | radix  |       4 |  100000 | reduced |     5 |   3.97 |          |             |             |
| dmp    | radix  |       8 |  100000 | full    |     5 |   4.42 |          |             |             |
| dmp    | radix  |       8 |  100000 | reduced |     5 |   4.42 |          |             |             |
| dmp    | radix  |      16 |  100000 | full    |     5 |   4.48 |          |             |             |
| dmp    | radix  |      16 |  100000 | reduced |     5 |   4.48 |          |             |             |
| dmp    | radix  |       2 |  100000 | full    |    10 |   4.77 |          |             |             |
| dmp    | radix  |       2 |  100000 | reduced |    10 |   4.78 |          |             |             |
| dmp    | radix  |       4 |  100000 | reduced |    10 |   6.41 |          |             |             |
| dmp    | radix  |       4 |  100000 | full    |    10 |   6.42 |          |             |             |
| dmp    | radix  |       2 |   10000 | full    |     5 |   6.44 |          |             |             |
| dmp    | radix  |       2 |   10000 | reduced |     5 |   6.44 |          |             |             |
| dmp    | radix  |       4 |   10000 | full    |     5 |   8.34 |          |             |             |
| dmp    | radix  |       4 |   10000 | reduced |     5 |   8.36 |          |             |             |
| dmp    | radix  |       8 |   10000 | full    |     5 |   9.42 |          |             |             |
| dmp    | radix  |       8 |   10000 | reduced |     5 |   9.42 |          |             |             |
| dmp    | radix  |       8 |  100000 | full    |    10 |   9.72 |          |             |             |
| dmp    | radix  |       8 |  100000 | reduced |    10 |   9.72 |          |             |             |
| dmp    | radix  |      16 |   10000 | full    |     5 |  10.23 |          |             |             |
| dmp    | radix  |      16 |   10000 | reduced |     5 |  10.24 |          |             |             |
| dmp    | radix  |       2 |   10000 | full    |    10 |  11.44 |          |             |             |
| dmp    | radix  |       2 |   10000 | reduced |    10 |  11.44 |          |             |             |
| dmp    | radix  |      16 |  100000 | full    |    10 |  13.38 |          |             |             |
| dmp    | radix  |      16 |  100000 | reduced |    10 |  13.39 |          |             |             |
| dmp    | radix  |       4 |   10000 | full    |    10 |  16.38 |          |             |             |
| dmp    | radix  |       4 |   10000 | reduced |    10 |  16.40 |          |             |             |
| dmp    | radix  |       8 |   10000 | full    |    10 |  20.52 |          |             |             |
| dmp    | radix  |       8 |   10000 | reduced |    10 |  20.52 |          |             |             |
| dmp    | radix  |       2 |    1000 | reduced |     5 |  20.82 |          |             |             |
| dmp    | radix  |       2 |    1000 | full    |     5 |  20.83 |          |             |             |
| dmp    | radix  |       4 |    1000 | full    |     5 |  24.38 |          |             |             |
| dmp    | radix  |       4 |    1000 | reduced |     5 |  24.39 |          |             |             |
| dmp    | radix  |      16 |   10000 | reduced |    10 |  24.99 |          |             |             |
| dmp    | radix  |      16 |   10000 | full    |    10 |  25.00 |          |             |             |
| dmp    | radix  |       8 |    1000 | reduced |     5 |  26.09 |          |             |             |
| dmp    | radix  |       8 |    1000 | full    |     5 |  26.10 |          |             |             |
| dmp    | radix  |      16 |    1000 | full    |     5 |  28.30 |          |             |             |
| dmp    | radix  |      16 |    1000 | reduced |     5 |  28.31 |          |             |             |
| dmp    | radix  |       2 |    1000 | reduced |    10 |  44.14 |          |             |             |
| dmp    | radix  |       2 |    1000 | full    |    10 |  44.15 |          |             |             |
| dmp    | radix  |       4 |    1000 | full    |    10 |  53.08 |          |             |             |
| dmp    | radix  |       4 |    1000 | reduced |    10 |  53.15 |          |             |             |
| dmp    | radix  |       8 |    1000 | full    |    10 |  58.65 |          |             |             |
| dmp    | radix  |       8 |    1000 | reduced |    10 |  58.66 |          |             |             |
| dmp    | radix  |      16 |    1000 | full    |    10 |  65.80 |          |             |             |
| dmp    | radix  |      16 |    1000 | reduced |    10 |  65.82 |          |             |             |
|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
| nondmp | jacobi |       x |       x | x       |     x |   2.91 |          |             |             |
| dmp    | jacobi |       x |   10000 | reduced |     1 |   3.70 |          |             |             |
| dmp    | jacobi |       x |  100000 | reduced |     1 |   3.70 |          |             |             |
| dmp    | jacobi |       x |  100000 | reduced |     5 |   6.97 |          |             |             |
| dmp    | jacobi |       x |   10000 | reduced |     5 |   6.98 |          |             |             |
| dmp    | jacobi |       x |   10000 | reduced |    10 |   6.98 |          |             |             |
